ProductName,December_2018,January,February,March,April,May,June,July,August,September,October,November,December_2019
10 Colour Spaceboy Pen,15.41,16.6,19.0,18.591,21.833,33.474,31.409,24.05,32.316,19.931,18.644,16.771,8.462
12 Coloured Party Balloons,7.75,13.333,13.333,18.417,12.833,19.0,10.476,13.357,10.333,12.214,10.941,13.2,8.8
12 Daisy Pegs In Wood Box,1.7,4.625,2.0,4.812,6.267,6.75,2.0,3.8,7.0,1.2,1.667,0.0,0.0
12 Egg House Painted Wood,1.222,1.556,1.778,1.462,1.333,1.2,1.5,1.2,1.0,1.2,1.8,2.2,1.5
12 Hanging Eggs Hand Painted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.571,3.333
12 Ivory Rose Peg Place Settings,3.143,4.438,6.333,7.957,4.75,7.3,9.294,3.684,9.0,6.833,0.0,0.0,0.0
12 Message Cards With Envelopes,6.625,4.632,12.1,7.625,7.167,9.667,4.455,4.087,7.412,8.462,4.633,6.051,8.625
12 Pencil Small Tube Woodland,7.318,10.167,75.25,10.042,17.75,6.533,9.0,2.0,0.0,14.571,9.259,13.232,7.889
12 Pencils Small Tube Red Retrospot,12.379,14.393,14.714,31.282,17.0,16.564,2.0,0.0,0.0,38.714,26.483,11.623,15.842
12 Pencils Small Tube Skull,7.562,14.68,12.706,28.875,23.0,15.314,24.545,14.48,83.941,12.607,15.033,30.538,4.0
12 Pencils Tall Tube Posy,3.4,3.0,1.0,7.8,12.0,5.167,34.667,19.718,17.75,31.727,10.211,0.0,0.0
12 Pencils Tall Tube Red Retrospot,6.435,9.143,18.1,14.154,9.6,9.235,9.667,18.786,8.741,10.912,6.459,8.429,7.5
12 Pencils Tall Tube Skulls,6.217,5.571,8.2,11.4,13.8,6.833,8.333,5.529,8.789,8.065,9.138,8.321,6.438
12 Pencils Tall Tube Woodland,4.28,6.857,6.0,9.0,12.083,8.966,4.231,7.923,6.76,9.8,6.65,8.404,10.2
12 Pink Hen+Chicks In Basket,0.0,1.0,1.0,3.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12 Pink Rose Peg Place Settings,8.0,8.857,4.0,19.667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12 Red Rose Peg Place Settings,1.545,3.6,5.1,4.0,8.714,2.5,6.167,1.6,3.0,7.077,1.889,3.929,2.0
15 Pink Fluffy Chicks In Box,0.0,2.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15cm Christmas Glass Ball 20 Lights,2.651,1.8,0.0,0.0,0.0,2.0,1.0,4.2,2.8,6.5,4.405,5.982,2.762
16 Piece Cutlery Set Pantry Design,0.0,0.0,0.0,0.0,1.0,6.667,4.5,2.667,2.25,6.4,1.8,2.333,1.5
18pc Wooden Cutlery Set Disposable,0.0,0.0,0.0,0.0,0.0,0.0,11.545,21.312,7.2,8.5,3.0,1.0,0.0
2 Daisies Hair Comb,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.0,6.0,3.5,1.0,1.0
2 Picture Book Eggs Easter Bunny,0.0,4.857,7.25,5.188,3.5,0.0,0.0,2.0,1.0,0.0,0.0,12.0,0.0
2 Picture Book Eggs Easter Chicks,0.0,7.0,9.667,6.583,2.333,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0
2 Picture Book Eggs Easter Ducks,0.0,2.5,7.5,4.625,3.333,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
20 Dolly Pegs Retrospot,15.107,5.095,8.533,7.24,56.538,0.0,4.0,4.812,10.15,7.353,9.13,3.909,4.857
200 Bendy Skull Straws,5.25,4.0,1.0,5.333,64.667,43.6,4.6,1.4,17.0,1.0,1.0,5.6,1.5
200 Red + White Bendy Straws,4.412,5.2,4.182,3.75,19.167,2.692,2.526,4.483,10.083,13.6,3.444,3.043,1.0
3 Birds Canvas Screen,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3 Black Cats W Hearts Blank Card,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,9.0,0.0
3 Drawer Antique White Wood Cabinet,3.591,4.324,2.784,3.619,3.0,2.959,3.271,3.409,3.371,3.468,3.097,4.105,5.167
3 Gardenia Morris Boxed Candles,2.167,4.2,1.5,3.0,0.0,3.0,1.0,1.0,4.0,2.857,7.333,6.8,0.0
3 Hearts Hanging Decoration Rustic,8.233,2.4,5.5,2.25,2.4,6.333,4.0,3.222,26.0,8.528,12.554,12.491,8.25
3 Hook Hanger Magic Garden,6.875,15.647,8.045,10.133,11.737,14.643,4.5,2.522,18.105,9.929,2.0,0.0,0.0
3 Hook Photo Shelf Antique White,2.654,2.343,6.35,3.714,2.654,4.553,7.942,13.448,3.926,2.214,1.222,2.575,2.222
3 Piece Spaceboy Cookie Cutter Set,4.194,10.219,12.559,11.6,3.5,3.842,2.5,8.773,5.955,8.724,4.047,4.877,5.1
3 Pink Hen+Chicks In Basket,0.0,2.5,3.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Raffia Ribbons 50'S Christmas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.485,9.46,10.195,8.105
3 Raffia Ribbons Vintage Christmas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.696,7.571,5.4,4.643
3 Rose Morris Boxed Candles,5.923,4.333,5.0,0.0,4.0,0.0,2.5,1.0,0.0,3.0,8.742,7.468,4.833
3 Stripey Mice Feltcraft,5.32,3.5,7.433,6.879,5.375,5.935,12.84,5.133,11.481,6.8,5.22,4.576,6.111
3 Tier Cake Tin Green And Cream,1.241,1.714,2.389,4.615,1.267,3.294,1.682,2.077,1.643,4.176,1.333,1.818,1.0
3 Tier Cake Tin Red And Cream,1.3,7.938,6.208,13.4,0.0,7.385,2.538,3.875,1.154,4.111,1.929,3.8,1.25
3 Tier Sweetheart Garden Shelf,1.0,1.0,1.0,2.2,1.2,1.333,1.0,1.0,1.0,2.5,1.0,1.0,0.0
3 Traditional Biscuit Cutters Set,4.444,13.278,5.643,5.375,3.9,3.889,7.875,8.941,4.562,4.536,3.654,6.593,2.8
3 White Choc Morris Boxed Candles,8.25,4.346,4.0,0.0,0.0,4.0,2.5,1.0,0.0,3.75,11.647,9.49,5.0
3 Wick Christmas Briar Candle,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36 Doilies Vintage Christmas,0.0,0.0,0.0,0.0,0.0,0.0,6.5,72.2,53.0,31.28,13.368,8.5,0.0
36 Foil Heart Cake Cases,4.667,11.893,12.222,18.909,3.933,14.417,9.6,4.08,42.273,14.7,6.538,4.562,10.6
36 Foil Star Cake Cases,3.286,20.625,11.4,4.333,5.556,2.5,5.4,3.263,22.375,9.143,6.0,10.84,6.667
36 Pencils Tube Posy,1.667,4.333,0.0,0.0,3.667,4.0,5.778,0.0,1.5,0.0,0.0,0.0,0.0
36 Pencils Tube Red Retrospot,11.143,3.562,9.905,9.76,11.929,14.261,18.333,6.31,13.667,16.143,13.586,8.78,3.765
36 Pencils Tube Skulls,2.444,5.538,3.2,8.059,10.75,11.8,9.3,5.125,6.0,6.136,14.75,4.769,5.562
36 Pencils Tube Woodland,4.933,8.571,6.875,9.0,14.308,14.0,9.45,6.286,15.964,7.517,5.25,36.5,0.0
3d Christmas Stamps Stickers,4.727,1.5,0.0,0.0,0.0,0.0,0.0,11.8,9.667,15.588,9.319,6.382,3.5
3d Dog Picture Playing Cards,4.056,6.333,4.0,2.429,3.0,0.0,4.0,2.273,4.75,2.333,7.667,3.125,1.0
3d Hearts Honeycomb Paper Garland,1.8,6.714,4.0,12.833,4.167,4.571,3.857,8.143,18.0,0.0,0.0,0.0,0.0
3d Sheet Of Cat Stickers,2.81,5.667,2.6,5.143,6.5,2.0,2.0,1.0,6.5,2.333,1.857,1.0,0.0
3d Sheet Of Dog Stickers,2.941,5.111,2.286,4.714,6.5,6.0,5.0,1.929,2.7,2.333,6.091,4.0,1.429
3d Traditional Christmas Stickers,3.581,0.0,1.0,1.0,0.0,3.0,0.0,11.6,10.889,10.621,10.277,7.587,3.0
3d Vintage Christmas Stickers,3.889,3.0,2.5,1.0,0.0,1.0,0.0,11.8,10.636,9.385,11.362,9.981,3.533
