ProductName,Sales,Inventory,Price,December_2018,January,February,March,April,May,June,July,August,September,October,November,December_2019,MeanValue,TransactionNo,SafetyStock,LeadTime,ROP,Rating,Bio,Restock
Set Of 2 Wooden Market Crates,526,40,21.47,2.2,1.909,1.882,1.917,1.579,1.857,3.467,3.0,2.133,3.625,2.286,2.682,8.667,2.861846153846154,16.308,3.0,1.77,8.065467692307692,5.0,0,0
Christmas Star Wish List Chalkboard,3502,29,10.65,0.0,1.0,0.0,0.0,0.0,0.0,7.75,12.267,9.455,16.2,13.286,10.055,16.469,6.652461538461538,34.25,7.0,1.3199999999999998,15.78124923076923,3.73256565617503,1,0
Storage Tin Vintage Leaf,739,49,11.53,0.0,0.0,0.0,0.0,0.0,0.0,11.071,6.043,5.625,4.167,4.154,2.417,7.364,3.1416153846153843,16.429,4.0,2.49,11.822622307692306,3.339939144876925,0,0
Tree T-Light Holder Willie Winkie,364,97,10.65,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,15.0,12.0,6.769,4.5,9.75,5.539923076923078,6.286,6.0,2.49,19.79440846153846,4.7568411785529205,0,0
Set Of 4 Knick Knack Tins Poppies,853,42,11.94,0.0,0.0,0.0,0.0,0.0,0.0,6.412,6.062,3.84,3.138,3.323,3.76,4.474,2.385307692307692,27.857,3.0,1.92,7.579790769230769,5.0,0,0
Bag 500g Swirly Marbles,1459,24,10.65,3.0,5.8,5.714,2.833,12.5,7.0,9.2,6.5,9.182,5.778,5.875,4.086,28.759,8.171307692307693,11.231,9.0,1.35,20.031265384615384,4.285353618887809,0,0
Joy Wooden Block Letters,232,253,11.53,1.688,2.667,0.0,2.0,1.0,2.0,0.0,1.5,1.0,3.444,1.786,1.778,4.789,1.819384615384616,8.273,2.0,2.43,6.421104615384615,4.83490780411372,0,0
Peace Wooden Block Letters,351,19,12.25,2.286,1.5,3.0,4.4,3.0,2.0,2.0,6.5,3.571,1.647,2.176,1.684,6.524,3.0990769230769226,8.769,4.0,2.16,10.694006153846152,3.691282778902156,1,0
T-Light Holder Hanging Lace,840,742,10.65,13.4,12.2,5.0,3.0,4.571,10.4,8.25,13.75,5.0,2.8,5.0,11.625,18.25,8.711230769230768,6.462,9.0,0.6599999999999999,14.749412307692308,2.9583837802039725,1,0
T-Light Holder White Lace,588,1099,10.55,5.0,5.8,7.667,5.5,9.667,6.0,4.0,19.4,3.5,1.0,7.25,2.667,23.75,7.784692307692307,5.231,8.0,1.23,17.57517153846154,4.366265645900733,1,0
Toy Tidy Spaceboy,1317,216,11.06,2.8,4.5,7.174,5.318,7.733,3.875,3.478,3.188,4.238,4.05,3.774,3.5,9.583,4.862384615384615,22.846,5.0,2.4,16.669723076923077,4.524399971787911,0,0
Grow Your Own Flowers Set Of 3,296,123,12.25,1.429,2.222,1.6,1.6,1.6,1.833,2.5,1.5,1.0,0.0,2.2,1.857,9.19,2.1946923076923075,7.083,3.0,0.8999999999999999,4.9752230769230765,3.842088909618838,1,0
Toy Tidy Dolly Girl Design,713,924,11.06,3.5,2.385,9.444,8.4,2.583,3.625,4.0,3.6,3.2,3.083,3.917,2.5,13.667,4.915692307692308,12.692,5.0,0.84,9.129181538461538,4.831056518021506,0,0
Set Of 3 Cake Tins Sketchbook,1022,515,12.25,2.267,3.043,7.0,2.067,3.8,4.286,2.211,3.355,2.0,2.067,2.381,2.217,5.733,3.2636153846153846,23.077,4.0,1.92,10.266141538461538,3.54591999018568,0,0
Set Of 6 Herb Tins Sketchbook,1169,928,11.53,3.286,4.137,5.882,3.385,3.278,3.115,3.25,3.194,6.412,2.111,1.818,1.704,6.095,3.666692307692308,23.462,4.0,2.82,14.340072307692308,3.297913734148258,0,0
Squarecushion Cover Pink Union Jack,245,4,11.53,2.0,2.143,2.5,3.0,1.333,0.0,2.0,1.889,1.0,2.5,1.286,1.0,13.667,2.6398461538461544,6.167,3.0,0.78,5.059080000000001,5.0,0,1
36 Foil Star Cake Cases,1192,355,11.06,3.286,20.625,11.4,4.333,5.556,2.5,5.4,3.263,22.375,9.143,6.0,10.84,6.667,8.568307692307693,10.769,9.0,2.64,31.620332307692305,5.0,0,0
