ProductName,Sales,Inventory,Price
Set Of 2 Wooden Market Crates,526,40,21.47
Christmas Star Wish List Chalkboard,3502,29,10.65
Storage Tin Vintage Leaf,739,49,11.53
Tree T-Light Holder Willie Winkie,364,97,10.65
Set Of 4 Knick Knack Tins Poppies,853,42,11.94
Bag 500g Swirly Marbles,1459,24,10.65
Joy Wooden Block Letters,232,253,11.53
Peace Wooden Block Letters,351,19,12.25
T-Light Holder Hanging Lace,840,742,10.65
T-Light Holder White Lace,588,1099,10.55
Toy Tidy Spaceboy,1317,216,11.06
Grow Your Own Flowers Set Of 3,296,123,12.25
Toy Tidy Dolly Girl Design,713,924,11.06
Set Of 3 Cake Tins Sketchbook,1022,515,12.25
Set Of 6 Herb Tins Sketchbook,1169,928,11.53
Squarecushion Cover Pink Union Jack,245,4,11.53
36 Foil Star Cake Cases,1192,355,11.06
Triple Wire Hook Pink Heart,79,1014,11.06
36 Foil Heart Cake Cases,2055,696,11.06
Wood Stocking Christmas Scandispot,1571,583,10.55
Pantry Magnetic Shopping List,3346,13,11.53
Sketchbook Magnetic Shopping List,1492,16,11.74
Bull Dog Bottle Opener,874,43,15.32
Classic Cafe Sugar Dispenser,3292,507,11.53
Small Ceramic Top Storage Jar,5847,213,10.96
Medium Ceramic Top Storage Jar,78033,682,11.32
Large Ceramic Top Storage Jar,3118,1022,11.74
Travel Card Wallet Pantry,2011,45,10.68
Travel Card Wallet Skulls,2145,553,10.68
Travel Card Wallet Transport,3171,712,10.68
Travel Card Wallet Keep Calm,12490,899,10.68
Travel Card Wallet Retrospot,2197,20,10.68
Hot Water Bottle I Am So Poorly,3522,10,15.32
Alarm Clock Bakelike Ivory,2901,22,14.09
Alarm Clock Bakelike Pink,5364,9,14.09
Alarm Clock Bakelike Red,7815,668,14.09
Alarm Clock Bakelike Green,6439,11,14.09
Set Of 3 Cake Tins Pantry Design,7493,78,14.61
Grow A Flytrap Or Sunflower In Tin,16244,356,11.34
French Wc Sign Blue Metal,1883,914,11.53
Recipe Box Retrospot,2901,1043,12.86
Recipe Box Pantry Yellow Design,8297,321,12.86
Circus Parade Lunch Box,3684,37,12.25
Picnic Boxes Set Of 3 Retrospot,966,3,15.32
Gumball Coat Rack,7962,76,12.86
Popcorn Holder,56921,114,10.99
Hot Water Bottle Tea And Sympathy,5796,758,14.61
Chocolate Hot Water Bottle,6074,43,15.32
Chocolate This Way Metal Sign,3773,985,12.4
Gin And Tonic Mug,2981,37,11.74
Glamorous Mug,1296,30,11.53
Save The Planet Mug,5454,48,11.74
Retrospot Large Milk Jug,1361,1052,15.32
Fawn Blue Hot Water Bottle,3314,29,14.09
White Skull Hot Water Bottle,3919,46,14.61
Door Hanger Mum + Dads Room,205,628,11.74
Set 3 Retrospot Tea/Coffee/Sugar,2133,13,14.61
Please One Person Metal Sign,12305,203,12.15
Gin And Tonic Diet Metal Sign,12225,4,12.38
You're Confusing Me Metal Sign,4424,40,11.74
Toxic Area Door Hanger,1465,14,10.65
Moody Boy Door Hanger,1127,216,10.65
Moody Girl Door Hanger,1474,523,10.65
Red Retrospot Oven Glove,4035,119,11.53
Large Chinese Style Scissor,1273,402,11.12
Small Chinese Style Scissor,13328,678,10.68
Small Folding Scissor(Pointed Edge),2892,5,10.37
Hand Over The Chocolate Sign,8272,11,12.15
Small Marshmallows Pink Bowl,3764,21,10.68
Small Dolly Mix Design Orange Bowl,5085,228,10.68
Set Of 4 English Rose Coasters,1254,38,11.53
N0 Singing Metal Sign,6014,935,12.15
Toilet Metal Sign,3883,19,10.81
Feng Shui Pillar Candle,3317,116,10.44
Tea Time Oven Glove,2183,23,11.53
English Rose Spirit Level,978,672,11.06
Vintage Doily Travel Sewing Kit,3970,1017,12.25
Blue Retro Kitchen Wall Clock,36,37,18.6
Red Retro Kitchen Wall Clock,47,46,18.6
Ivory Retro Kitchen Wall Clock,77,362,18.6
Hot Stuff Hot Water Bottle,631,452,11.53
Set Of 12 Fairy Cake Baking Cases,8486,402,11.1
Set Of Tea Coffee Sugar Tins Pantry,4805,526,15.32
Set Of 4 Knick Knack Tins Doily,4186,967,14.5
Doormat 3 Smiley Cats,1176,605,17.51
Hanging Metal Heart Lantern,3427,40,11.06
12 Pencils Tall Tube Skulls,2156,23,11.12
12 Pencils Tall Tube Woodland,1976,1,11.12
Gingham Recipe Book Box,466,42,15.32
Egg Frying Pan Red,431,7,12.15
Single Heart Zinc T-Light Holder,6266,470,11.53
Natural Slate Heart Chalkboard,9172,202,13.27
Heart Of Wicker Small,17971,720,11.94
Set Of 20 Vintage Christmas Napkins,8987,24,11.12
Antique Silver Tea Glass Engraved,8706,49,11.53
Playing Cards Keep Calm & Carry On,3646,656,11.53
Ice Cream Bubbles,2688,645,11.1
Wall Art Only One Person,1062,43,15.32
Childrens Cutlery Polkadot Blue,4068,515,14.5
Childrens Cutlery Polkadot Pink,5424,114,14.5
World War 2 Gliders Asstd Designs,55047,1,10.55
Feltcraft Princess Charlotte Doll,2375,296,14.09
Feltcraft Girl Nicole Kit,737,25,15.32
Feltcraft Girl Amelie Kit,1114,45,15.32
Poppy's Playhouse Bathroom,963,7,12.4
Ribbon Reel Lace Design,1381,45,12.4
Antique Silver T-Light Glass,19246,33,11.53
T-Light Glass Fluted Antique,8027,1,11.53
Aged Glass Silver T-Light Holder,10583,12,10.92
Picture Frame Wood Triple Portrait,1068,378,17.17
Set 6 Paper Table Lantern Hearts,2333,20,14.09
Paper Bunting White Lace,4089,121,13.27
Vintage Zinc Watering Can Small,18,37,15.32
Jumbo Shopper Vintage Red Paisley,12614,434,12.38
Red Woolly Hottie White Heart,4813,88,14.61
Hand Warmer Union Jack,4867,9,12.4
Hot Water Bottle Keep Calm,5889,1042,15.32
Knitted Union Flag Hot Water Bottle,3323,44,14.61
Rotating Silver Angels T-Light Hldr,9485,28,12.86
Rose Caravan Doorstop,566,10,12.25
Ceramic Strawberry Design Mug,1790,15,10.65
Red Retrospot Tea Cup And Saucer,855,258,11.53
Ping Microwave Apron,509,49,11.06
Empire Union Jack Tv Dinner Tray,882,11,12.25
Set Of 2 Round Tins Camembert,283,816,11.06
Set Of 2 Round Tins Dutch Cheese,254,854,11.06
Doorstop Football Design,153,25,11.06
Set Of 2 Tins Jardin De Provence,253,4,11.53
Jam Clock Magnet,330,17,11.53
Kneeling Mat Housework Design,1544,552,11.06
Wall Art Garden Haven,215,130,12.25
Danish Rose Round Sewing Box,811,957,11.06
Airline Bag Vintage Tokyo 78,1100,64,14.3
Kings Choice Mug,2055,28,11.34
Vintage Red Enamel Trim Mug,1713,46,11.32
Gardeners Kneeling Pad Cup Of Tea,6827,434,11.74
Baking Set 9 Piece Retrospot,4948,47,14.61
Paper Craft Little Birdie,80995,784,12.38
Baking Set Spaceboy Design,2209,42,15.32
Assorted Colour Mini Cases,1770,59,16.76
Paper Chain Kit Vintage Christmas,10604,35,13.27
Paper Chain Kit 50'S Christmas,19355,1024,13.27
Roll Wrap 50'S Christmas,3551,33,6.19
Roll Wrap 50'S Red Christmas,1815,752,6.19
Pack Of 12 Coloured Pencils,3959,905,6.04
Wooden School Colouring Set,5888,28,6.04
Pack Of 12 Traditional Crayons,9721,51,6.04
Traditional Modelling Clay,8168,463,6.04
Retrospot Tea Set Ceramic 11 Pc,4527,374,6.04
Jumbo Bag 50'S Christmas,10306,1010,6.19
Jumbo Bag Vintage Doily,20503,24,6.19
Jumbo Bag Red Retrospot,48478,1007,6.19
Jumbo Bag Alphabet,13379,6,6.19
Lunch Bag Alphabet Design,7851,27,6.19
Black Record Cover Frame,11656,30,6.04
Parisienne Jewellery Drawer,813,264,6.04
Parisienne Sewing Box,312,1021,6.04
Set 10 Night Owl Lights,967,21,6.04
Large Cake Stand Hanging Strawbery,583,557,7.24
Cake Stand Victorian Filigree Small,374,459,7.24
Traditional Naughts & Crosses,2859,12,7.24
Set 36 Colour Pencils Love London,1105,733,6.19
Set 36 Colouring Pencils Doily,1555,11,6.19
Set 36 Colour Pencils Spaceboy,1712,299,6.19
Set 36 Colour Pencils Dolly Girl,1391,32,6.19
Pack Of 12 Vintage Christmas Tissue,3051,2,6.19
Pack Of 12 Dolly Girl Tissues,1354,301,6.19
Pack Of 12 50'S Christmas Tissues,4003,594,6.19
Pack Of 12 Red Apple Tissues,1220,450,6.19
Pack Of 12 Vintage Doily Tissues,2344,725,6.19
Pack Of 12 Vintage Leaf Tissues,1509,779,6.19
Box Of 6 Christmas Cake Decorations,1875,400,6.19
I Love London Mini Backpack,390,200,6.19
Spaceboy Rocket Lolly Makers,667,639,6.19
Home Sweet Home Hanging Heart,1922,487,6.19
Home Sweet Home 2 Drawer Cabinet,254,372,6.19
Lavender Toilette Bottle,558,33,6.19
Metal Sign Drop Your Pants,1277,921,6.19
3 Raffia Ribbons 50'S Christmas,2105,10,6.19
3 Raffia Ribbons Vintage Christmas,827,1,6.04
Hand Warmer Red Love Heart,4027,797,6.19
Square Mini Portrait Frame,278,63,6.19
Vintage Zinc Planter,32,49,6.19
Card Holder Love Bird Small,332,629,6.19
Mini Lights Woodland Mushrooms,1801,19,6.19
