TransactionNo,ProductNo,ProductName,Price,Quantity
581482,22485,Set Of 2 Wooden Market Crates,21.47,12
580894,22485,Set Of 2 Wooden Market Crates,6.19,12
580097,22485,Set Of 2 Wooden Market Crates,7.24,2
579676,22485,Set Of 2 Wooden Market Crates,6.19,2
579690,22485,Set Of 2 Wooden Market Crates,7.24,1
579777,22485,Set Of 2 Wooden Market Crates,6.19,2
579297,22485,Set Of 2 Wooden Market Crates,7.24,2
579358,22485,Set Of 2 Wooden Market Crates,6.19,2
579187,22485,Set Of 2 Wooden Market Crates,6.19,1
578921,22485,Set Of 2 Wooden Market Crates,6.04,1
578926,22485,Set Of 2 Wooden Market Crates,6.19,2
578952,22485,Set Of 2 Wooden Market Crates,6.19,2
578361,22485,Set Of 2 Wooden Market Crates,6.19,2
577302,22485,Set Of 2 Wooden Market Crates,23.32,2
577078,22485,Set Of 2 Wooden Market Crates,35.83,2
577084,22485,Set Of 2 Wooden Market Crates,21.47,12
576838,22485,Set Of 2 Wooden Market Crates,23.32,2
576867,22485,Set Of 2 Wooden Market Crates,23.32,2
575256,22485,Set Of 2 Wooden Market Crates,21.47,12
574950,22485,Set Of 2 Wooden Market Crates,35.83,2
575176,22485,Set Of 2 Wooden Market Crates,35.83,1
575070,22485,Set Of 2 Wooden Market Crates,23.32,1
574545,22485,Set Of 2 Wooden Market Crates,23.32,4
573911,22485,Set Of 2 Wooden Market Crates,23.32,1
573370,22485,Set Of 2 Wooden Market Crates,23.32,2
573400,22485,Set Of 2 Wooden Market Crates,23.32,2
572540,22485,Set Of 2 Wooden Market Crates,35.83,1
571180,22485,Set Of 2 Wooden Market Crates,23.32,6
570672,22485,Set Of 2 Wooden Market Crates,23.32,2
570255,22485,Set Of 2 Wooden Market Crates,23.32,2
570126,22485,Set Of 2 Wooden Market Crates,23.32,1
569025,22485,Set Of 2 Wooden Market Crates,23.32,6
568654,22485,Set Of 2 Wooden Market Crates,23.32,4
568480,22485,Set Of 2 Wooden Market Crates,21.47,12
568212,22485,Set Of 2 Wooden Market Crates,23.32,1
568044,22485,Set Of 2 Wooden Market Crates,23.32,2
567793,22485,Set Of 2 Wooden Market Crates,23.32,2
567855,22485,Set Of 2 Wooden Market Crates,23.32,4
567929,22485,Set Of 2 Wooden Market Crates,23.32,2
567197,22485,Set Of 2 Wooden Market Crates,23.32,4
567128,22485,Set Of 2 Wooden Market Crates,23.32,1
566980,22485,Set Of 2 Wooden Market Crates,21.47,12
566585,22485,Set Of 2 Wooden Market Crates,23.32,2
566085,22485,Set Of 2 Wooden Market Crates,23.32,1
566060,22485,Set Of 2 Wooden Market Crates,35.83,1
565384,22485,Set Of 2 Wooden Market Crates,23.32,2
564713,22485,Set Of 2 Wooden Market Crates,23.32,1
564221,22485,Set Of 2 Wooden Market Crates,35.83,1
564342,22485,Set Of 2 Wooden Market Crates,23.32,2
564062,22485,Set Of 2 Wooden Market Crates,23.32,6
563613,22485,Set Of 2 Wooden Market Crates,23.32,4
563549,22485,Set Of 2 Wooden Market Crates,35.83,1
563557,22485,Set Of 2 Wooden Market Crates,23.32,2
562955,22485,Set Of 2 Wooden Market Crates,35.83,3
563093,22485,Set Of 2 Wooden Market Crates,35.83,1
562888,22485,Set Of 2 Wooden Market Crates,23.32,2
562730,22485,Set Of 2 Wooden Market Crates,23.32,2
562490,22485,Set Of 2 Wooden Market Crates,23.32,2
562273,22485,Set Of 2 Wooden Market Crates,23.32,2
562113,22485,Set Of 2 Wooden Market Crates,35.83,1
562031,22485,Set Of 2 Wooden Market Crates,23.32,2
561894,22485,Set Of 2 Wooden Market Crates,23.32,1
561694,22485,Set Of 2 Wooden Market Crates,23.32,2
561799,22485,Set Of 2 Wooden Market Crates,23.32,2
561068,22485,Set Of 2 Wooden Market Crates,23.32,2
560930,22485,Set Of 2 Wooden Market Crates,23.32,2
560602,22485,Set Of 2 Wooden Market Crates,23.32,2
560580,22485,Set Of 2 Wooden Market Crates,21.47,16
560410,22485,Set Of 2 Wooden Market Crates,23.32,2
560231,22485,Set Of 2 Wooden Market Crates,23.32,2
559929,22485,Set Of 2 Wooden Market Crates,23.32,2
559912,22485,Set Of 2 Wooden Market Crates,23.32,2
559492,22485,Set Of 2 Wooden Market Crates,35.83,1
559311,22485,Set Of 2 Wooden Market Crates,23.32,6
559039,22485,Set Of 2 Wooden Market Crates,35.83,1
558533,22485,Set Of 2 Wooden Market Crates,23.32,2
558540,22485,Set Of 2 Wooden Market Crates,23.32,3
558558,22485,Set Of 2 Wooden Market Crates,23.32,1
558452,22485,Set Of 2 Wooden Market Crates,23.32,4
558315,22485,Set Of 2 Wooden Market Crates,23.32,4
557788,22485,Set Of 2 Wooden Market Crates,21.47,2
557528,22485,Set Of 2 Wooden Market Crates,23.32,2
557595,22485,Set Of 2 Wooden Market Crates,23.32,2
557621,22485,Set Of 2 Wooden Market Crates,23.32,2
557324,22485,Set Of 2 Wooden Market Crates,35.83,1
557471,22485,Set Of 2 Wooden Market Crates,23.32,2
557208,22485,Set Of 2 Wooden Market Crates,23.32,2
557217,22485,Set Of 2 Wooden Market Crates,23.32,2
557248,22485,Set Of 2 Wooden Market Crates,23.32,2
556932,22485,Set Of 2 Wooden Market Crates,35.83,1
556539,22485,Set Of 2 Wooden Market Crates,23.32,2
556636,22485,Set Of 2 Wooden Market Crates,23.32,2
556290,22485,Set Of 2 Wooden Market Crates,23.32,2
556341,22485,Set Of 2 Wooden Market Crates,23.32,2
555938,22485,Set Of 2 Wooden Market Crates,23.32,2
555949,22485,Set Of 2 Wooden Market Crates,21.47,12
555745,22485,Set Of 2 Wooden Market Crates,23.32,2
555815,22485,Set Of 2 Wooden Market Crates,23.32,2
555722,22485,Set Of 2 Wooden Market Crates,35.83,2
555647,22485,Set Of 2 Wooden Market Crates,23.32,6
555558,22485,Set Of 2 Wooden Market Crates,23.32,4
555418,22485,Set Of 2 Wooden Market Crates,21.47,12
555368,22485,Set Of 2 Wooden Market Crates,23.32,2
555401,22485,Set Of 2 Wooden Market Crates,21.47,18
555278,22485,Set Of 2 Wooden Market Crates,35.83,2
555017,22485,Set Of 2 Wooden Market Crates,23.32,3
555095,22485,Set Of 2 Wooden Market Crates,23.32,2
554969,22485,Set Of 2 Wooden Market Crates,23.32,2
554813,22485,Set Of 2 Wooden Market Crates,23.32,2
554160,22485,Set Of 2 Wooden Market Crates,23.32,2
553831,22485,Set Of 2 Wooden Market Crates,23.32,2
553859,22485,Set Of 2 Wooden Market Crates,23.32,2
553907,22485,Set Of 2 Wooden Market Crates,23.32,2
553685,22485,Set Of 2 Wooden Market Crates,23.32,2
